,date,state,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease
0,20210307,AK,56886.0,0,305.0,0,33.0,0
1,20210307,AL,499819.0,408,10148.0,-1,494.0,0
2,20210307,AR,324818.0,165,5319.0,22,335.0,11
3,20210307,AS,0.0,0,0.0,0,,0
4,20210307,AZ,826454.0,1335,16328.0,5,963.0,44
5,20210307,CA,3501394.0,3816,54124.0,258,4291.0,0
6,20210307,CO,436602.0,840,5989.0,3,326.0,18
7,20210307,CT,285330.0,0,7704.0,0,428.0,0
8,20210307,DC,41419.0,146,1030.0,0,150.0,0
9,20210307,DE,88354.0,215,1473.0,9,104.0,0
10,20210307,FL,1909209.0,4024,32266.0,66,3307.0,92
11,20210307,GA,1023487.0,1709,17906.0,1,2008.0,35
12,20210307,GU,7749.0,0,133.0,0,2.0,0
13,20210307,HI,28699.0,53,445.0,1,27.0,0
14,20210307,IA,282384.0,257,5558.0,6,167.0,0
15,20210307,ID,172931.0,104,1879.0,3,150.0,5
16,20210307,IL,1198335.0,1068,23014.0,12,1141.0,0
17,20210307,IN,667262.0,746,12737.0,11,656.0,64
18,20210307,KS,295861.0,0,4812.0,0,235.0,0
19,20210307,KY,410709.0,525,4819.0,13,558.0,6
20,20210307,LA,433785.0,740,9748.0,32,532.0,0
21,20210307,MA,591356.0,1425,16417.0,43,665.0,0
22,20210307,MD,387319.0,709,7955.0,14,818.0,79
23,20210307,ME,45794.0,159,706.0,2,67.0,4
24,20210307,MI,656072.0,0,16658.0,0,866.0,0
25,20210307,MN,490011.0,895,6550.0,4,224.0,2
26,20210307,MO,480643.0,291,8161.0,0,955.0,0
27,20210307,MP,145.0,1,2.0,0,,0
28,20210307,MS,297581.0,260,6808.0,3,419.0,0
29,20210307,MT,100914.0,72,1381.0,0,63.0,1
30,20210307,NC,872176.0,0,11502.0,0,1179.0,0
31,20210307,ND,100391.0,34,1478.0,0,23.0,2
32,20210307,NE,203026.0,373,2113.0,0,137.0,8
33,20210307,NH,76861.0,166,1184.0,3,68.0,4
34,20210307,NJ,812609.0,2519,23574.0,17,1792.0,58
35,20210307,NM,186922.0,180,3808.0,12,169.0,10
36,20210307,NV,296190.0,730,5037.0,1,399.0,0
37,20210307,NY,1681169.0,6789,39029.0,59,4789.0,0
38,20210307,OH,978471.0,735,17656.0,0,820.0,33
39,20210307,OK,428997.0,461,4534.0,0,346.0,55
40,20210307,OR,157079.0,195,2296.0,3,158.0,0
41,20210307,PA,948643.0,1658,24349.0,32,1587.0,0
42,20210307,PR,101632.0,305,2062.0,3,134.0,0
43,20210307,RI,128781.0,265,2547.0,0,141.0,0
44,20210307,SC,525865.0,1408,8754.0,35,579.0,66
45,20210307,SD,113589.0,211,1900.0,2,72.0,13
46,20210307,TN,782206.0,0,11543.0,0,851.0,0
47,20210307,TX,2686818.0,2953,44451.0,84,4721.0,0
48,20210307,UT,374850.0,412,1976.0,1,212.0,24
49,20210307,VA,585700.0,1163,9596.0,77,1127.0,24
